Mw,Rhyp,Vs30,FM,SA(T=0),SA(T=0.01),SA(T=0.015),SA(T=0.02),SA(T=0.03),SA(T=0.04),SA(T=0.05),SA(T=0.06),SA(T=0.075),Sa(T0.09),Sa(T0.1),Sa(T0.15),Sa(T=0.2),Sa(T=0.3),Sa(T=0.4),Sa(T=0.5),Sa(T=0.6),Sa(T=0.7),Sa(T=0.75),Sa(T=0.8),Sa(T=0.9),Sa(T=1),Sa(T=1.2),Sa(T=1.5),Sa(T=2),Sa(T=2.5),Sa(T=3),Sa(T=4)
6.37,1011.2927596,399,3,0.00014497,0.0001449812,0.00014499685,0.0001450125,0.0001450693,0.0001451842,0.0001453429,0.0001467488,0.0001471201,0.0001466068,0.0001460323,0.0001477466,0.0001473251,0.0001478711,0.0001546903,0.0001560226,0.0001604212,0.0001613155,0.0001844995,0.0002071735,0.0001970577,0.0001801274,0.0002335729,0.0002927816,0.0004890374,0.0005104577,0.000488725,0.0003757791
6.37,494.0116002,635,3,0.00020864,0.0002087297,0.00020887715,0.0002090246,0.0002095782,0.0002110059,0.0002180972,0.0002129081,0.0002206991,0.0002391198,0.0002528377,0.00025194,0.0002755844,0.0003563017,0.000552544,0.0007099626,0.0006997849,0.0006337347,0.0007066184,0.0007681499,0.0005827957,0.0005884369,0.0005379937,0.0003735289,0.0001847555,0.000120881,9.620199E-05,5.68035E-05
6.37,496.3307923,635,3,0.00013073,0.0001308997,0.0001311581,0.0001314165,0.0001322712,0.0001338013,0.0001363999,0.0001654025,0.0001691983,0.0001545362,0.0001555029,0.000180221,0.0001717717,0.0002125728,0.0002802117,0.0002907872,0.0002763667,0.0003485247,0.0003503941,0.000354303,0.0003266048,0.0003368807,0.000326888,0.0002948164,0.0001366815,0.0001128247,8.602604E-05,4.235908E-05
6.29,711.4790417,635,3,0.00048906,0.0004892088,0.00048943095,0.0004896531,0.0004903981,0.0004914502,0.0004928185,0.0004945169,0.0004977167,0.0005016567,0.0005050527,0.0005333462,0.0005811055,0.0007764274,0.00110018,0.001614988,0.001839363,0.001488515,0.001364694,0.001376086,0.0009942552,0.0009987198,0.0009924704,0.0005259502,0.0002593274,0.0001262454,8.784969E-05,5.10496E-05
6.31,865.8145278,635,3,3.8227E-05,3.82342E-05,3.824567E-05,3.825714E-05,3.82957E-05,3.835103E-05,3.841968E-05,3.851131E-05,3.868126E-05,3.886355E-05,3.904351E-05,4.053053E-05,4.318467E-05,4.73658E-05,7.111572E-05,8.12094E-05,0.0001160851,0.000137784,0.0001172314,0.0001122039,0.0001421344,0.0001111167,0.0001045264,7.442514E-05,4.395899E-05,2.470844E-05,1.998945E-05,2.430629E-05
6.31,864.3446539,635,3,1.3905E-05,1.390603E-05,1.390745E-05,1.390887E-05,1.391363E-05,1.392043E-05,1.39303E-05,1.393432E-05,1.395674E-05,1.397684E-05,1.399443E-05,1.41349E-05,1.436776E-05,1.529808E-05,1.724088E-05,1.924604E-05,2.771655E-05,3.293916E-05,3.77559E-05,3.854935E-05,3.530052E-05,4.540296E-05,4.764451E-05,4.067042E-05,4.122058E-05,2.395284E-05,1.883695E-05,2.622052E-05
6.24,681.9297966,635,2,0.00034877,0.0003512316,0.0003550937,0.0003589558,0.0003732994,0.0003992965,0.0004349155,0.0006530029,0.0008559276,0.001199782,0.00124278,0.0007606394,0.0005438053,0.0005726349,0.0005646134,0.0007892179,0.0008001361,0.0006684106,0.0005272646,0.000489497,0.0003447059,0.0002538705,0.0001277997,9.878399E-05,9.615894E-05,8.881342E-05,7.882967E-05,6.715857E-05
6.24,680.8000175,635,2,0.00023146,0.0002329175,0.00023545495,0.0002379924,0.0002477459,0.0002664478,0.0003058262,0.0003349302,0.0004119995,0.0005082363,0.000547056,0.0004633232,0.000409612,0.0004650978,0.0002513326,0.0001987225,0.0002694099,0.0002323409,0.0002900626,0.0002495439,0.0001569898,0.0001144214,7.397483E-05,6.177581E-05,7.982052E-05,0.0001003636,8.243862E-05,7.067115E-05
6.21,835.0623971,665,3,4.6163E-05,4.700532E-05,4.8444135E-05,4.988295E-05,5.656571E-05,7.492567E-05,0.0001768295,0.0001168125,0.000101397,0.0001720407,0.0001340424,8.260264E-05,7.029497E-05,6.858924E-05,6.164525E-05,5.314811E-05,5.019345E-05,4.581541E-05,4.164685E-05,3.888987E-05,3.817352E-05,4.501707E-05,4.705316E-05,5.291775E-05,6.050547E-05,6.325376E-05,5.08632E-05,2.899416E-05
6.21,805.1412427,455,3,3.6777E-05,3.683122E-05,3.691564E-05,3.700006E-05,3.723304E-05,3.758426E-05,3.893157E-05,4.332265E-05,6.213757E-05,4.481768E-05,4.157094E-05,5.461699E-05,6.053777E-05,6.728937E-05,8.518987E-05,7.015249E-05,8.757124E-05,8.817003E-05,8.655753E-05,7.447412E-05,7.171351E-05,6.895533E-05,7.776732E-05,7.6992E-05,6.978844E-05,8.25729E-05,6.316029E-05,3.012796E-05
